codigo_activo_excel,descripcion_excel,codigo_padre_excel,grupo_activos,area,criticalidad,sector_raiz_codigo,sector_codigo_derivado,sector_nombre_derivado,nivel_profundidad,es_raiz_sector,es_lgc,es_hoja,cantidad_hijos,incluir_en_catalogo_manual,motivo_exclusion
PR-PRP1-LMN-A05,LAMINADOR ALLOCCO AC-200 Nº 5,PR-PRP1-LGC-LAMINADORES,PR-LMN AC200,PTA RIC - R2 RS,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,2,,
PR-PRP1-LMN-A06,LAMINADOR ALLOCCO AC-200 Nº 6,PR-PRP1-LGC-LAMINADORES,PR-LMN AC200,PTA RIC - R2 RS,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,2,,
PR-PRP1-LMN-A07,LAMINADOR ALLOCCO AC-200 Nº 7,PR-PRP1-LGC-LAMINADORES,PR-LMN AC200,PTA RIC - R2 RS,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,2,,
PR-PRP1-MLA-K6EE72,MULTIASPIRADOR KICE 1 6 EE72 <A TSG-58>,PR-PRP1-LGC-MULTIASPIRADORES,PR-PRP1-MLA-K6EE72,PTA RIC - R2 RT,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-MLA-KREP,MULTIASPIRADOR KICE 2 REPASO <A TSG-21>,PR-PRP1-LGC-MULTIASPIRADORES,PR-PRP1-MLA-KREP,PTA RIC - R2 RT,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-NOR-TSG17,NORIA TSG-17,PR-PRP1-LGC-NORIAS,PR-PRP1-NOR-TSG17,PTA RIC - R2 RT,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-NOR-TSG20,NORIA TSG-20,PR-PRP1-LGC-NORIAS,PR-PRP1-NOR-TSG20,PTA RIC - R2 RT,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-NOR-TSG22,NORIA TSG-22,PR-PRP1-LGC-NORIAS,PR-PRP1-NOR-TSG22,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-NOR-TSG31,NORIA TSG-31,PR-PRP1-LGC-NORIAS,PR-PRP1-NOR-TSG31,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-NOR-TSG38,NORIA TSG-38,PR-PRP1-LGC-NORIAS,PR-PRP1-NOR-TSG38,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-PRN-A01,PRENSA ALLOCCO AC-250 Nº 1 <N>,PR-PRP1-LGC-PRENSAS,PR-PRN AC250,PTA RIC - R2 RP,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,2,,
PR-PRP1-PRN-A02,PRENSA ALLOCCO AC-250 Nº 2,PR-PRP1-LGC-PRENSAS,PR-PRN AC250,PTA RIC - R2 RP,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,2,,
PR-PRP1-PRN-A03,PRENSA ALLOCCO AC-250 Nº 3,PR-PRP1-LGC-PRENSAS,PR-PRN AC250,PTA RIC - R2 RP,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,2,,
PR-PRP1-PRN-A04,PRENSA ALLOCCO AC-200 Nº 4,PR-PRP1-LGC-PRENSAS,PR-PRN AC200,PTA RIC - R2 RP,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,2,,
PR-PRP1-PRN-A05,PRENSA ALLOCCO AC-200 Nº 5,PR-PRP1-LGC-PRENSAS,PR-PRN AC200,PTA RIC - R2 RP,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,2,,
PR-PRP1-PRN-A06,PRENSA ALLOCCO AC-200 Nº 6,PR-PRP1-LGC-PRENSAS,PR-PRN AC200,PTA RIC - R2 RP,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,2,,
PR-PRP1-PRN-A07,PRENSA ALLOCCO AC-200 Nº 7,PR-PRP1-LGC-PRENSAS,PR-PRN AC200,PTA RIC - R2 RP,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,2,,
PR-PRP1-PRN-A08,PRENSA ALLOCCO AC-200 Nº 8,PR-PRP1-LGC-PRENSAS,PR-PRN AC200,PTA RIC - R2 RP,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,2,,
PR-PRP1-PRN-A09,PRENSA ALLOCCO AC-200 Nº 9 <S>,PR-PRP1-LGC-PRENSAS,PR-PRN AC200,PTA RIC - R2 RP,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,2,,
PR-PRP1-QBR-A01,QUEBRADOR ALLOCCO AC-250 Nº 1 (N),PR-PRP1-LGC-QUEBRADORES,PR-QBR AC 250,PTA RIC - R2 RS,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,1,,
PR-PRP1-QBR-A02,QUEBRADOR ALLOCCO AC-250 Nº 2 INACTIVO,PR-PRP1-LGC-QUEBRADORES,PR-QBR AC 250,PTA RIC - R2 RS,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,1,,
PR-PRP1-QBR-A03,QUEBRADOR ALLOCCO AC-250 Nº 3,PR-PRP1-LGC-QUEBRADORES,PR-QBR AC 250,PTA RIC - R2 RS,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,1,,
PR-PRP1-QBR-A04,QUEBRADOR ALLOCCO AC-250 Nº 4,PR-PRP1-LGC-QUEBRADORES,PR-QBR AC 250,PTA RIC - R2 RS,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,1,,
PR-PRP1-QBR-A05,QUEBRADOR ALLOCCO AC-250 Nº 5 (S),PR-PRP1-LGC-QUEBRADORES,PR-QBR AC 250,PTA RIC - R2 RS,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,1,,
PR-PRP1-RDL-TSG18,REDLER TSG-18,PR-PRP1-LGC-REDLERS,PR-PRP1-RDL-TSG18,PTA RIC - R2 RT,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RDL-TSG19,REDLER TSG-19,PR-PRP1-LGC-REDLERS,PR-PRP1-RDL-TSG19,PTA RIC - R2 RT,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RDL-TSG26,REDLER TSG-26,PR-PRP1-LGC-REDLERS,PR-PRP1-RDL-TSG26,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RDL-TSG27,REDLER TSG-27,PR-PRP1-LGC-REDLERS,PR-PRP1-RDL-TSG27,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RDL-TSG28,REDLER TSG-28,PR-PRP1-LGC-REDLERS,PR-PRP1-RDL-TSG28,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RDL-TSG29,REDLER TSG-29,PR-PRP1-LGC-REDLERS,PR-PRP1-RDL-TSG29,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RDL-TSG30,REDLER TSG-30,PR-PRP1-LGC-REDLERS,PR-PRP1-RDL-TSG30,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RDL-TSG34,"REDLER TSG-34 ""Z""",PR-PRP1-LGC-REDLERS,PR-PRP1-RDL-TSG34,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RDL-TSG39,REDLER TSG-39,PR-PRP1-LGC-REDLERS,PR-PRP1-RDL-TSG39,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RDL-TSG40,REDLER TSG-40,PR-PRP1-LGC-REDLERS,PR-PRP1-RDL-TSG40,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RDL-TSG41,"REDLER TSG-41 ""Z""",PR-PRP1-LGC-REDLERS,PR-PRP1-RDL-TSG41,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RDL-TSG43,REDLER TSG-43,PR-PRP1-LGC-REDLERS,PR-PRP1-RDL-TSG43,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RDL-TSG47,REDLER TSG-47,PR-PRP1-LGC-REDLERS,PR-PRP1-RDL-TSG47,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RDL-TSG54,"REDLER TSG-54 ""Z""",PR-PRP1-LGC-REDLERS,PR-PRP1-RDL-TSG54,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RQC-N01,REQUECHERO Nº 1 <L/SUR>,PR-PRP1-LGC-REQUECHEROS,PR-RQC 1500,PTA RIC - R2 RP,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RQC-N02,REQUECHERO Nº 2 <L/NORTE>,PR-PRP1-LGC-REQUECHEROS,PR-RQC 1500,PTA RIC - R2 RP,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RSC-AGC1,ROSCA AGREGADO CASCARA L-1,PR-PRP1-LGC-ROSCAS,PR-PRP1-RSC-AGC1,PTA RIC - R2 RP,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RSC-SFAG1,ROSCA DE AGREGADO SUPERIOR <DE CARRO BEC-CAR A SFAG2>,PR-PRP1-LGC-ROSCAS,PR-PRP1-RSC-SFAG1,PTA RIC - R2 RP,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RSC-SFAG2,ROSCA DE AGREGADO INFERIOR <DE SFAG1 A TSG34>,PR-PRP1-LGC-ROSCAS,PR-PRP1-RSC-SFAG2,PTA RIC - R2 RP,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RSC-SFSAPL1,ROSCA COLECTORA DE POLVILLO S.A.P. L-1,PR-PRP1-SAP-PRPL1,PR-PRP1-RSC-SAPL1,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,3,NO,NO,SI,0,,
PR-PRP1-RSC-TSG21,ROSCA TSG-21,PR-PRP1-LGC-ROSCAS,PR-PRP1-RSC-TSG21,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
