element_id,unique_id,category,family,type,name,btz_path_detectado,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,cantidad_btz_description_con_valor,slots_libres,cantidad_codigos_project_asignados_sugeridos
366082,112ed255-2c3e-4575-ba44-903fa5f3f8e7-00059602,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-HRN-LGC-HARINA > PP-HRN-LGC-MOLINOS,PP,PP-HRN-LGC-HARINA,PP-HRN-LGC-MOLINOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,6
366106,112ed255-2c3e-4575-ba44-903fa5f3f8e7-0005961a,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-HRN-LGC-HARINA > PP-HRN-LGC-TAMIZADORES,PP,PP-HRN-LGC-HARINA,PP-HRN-LGC-TAMIZADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,9
366183,112ed255-2c3e-4575-ba44-903fa5f3f8e7-00059667,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-HRN-LGC-HARINA > PP-HRN-LGC-HARINA,PP,PP-HRN-LGC-HARINA,PP-HRN-LGC-HARINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,20
366280,112ed255-2c3e-4575-ba44-903fa5f3f8e7-000596c8,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-HRN-LGC-HARINA > PP-HRN-LGC-VALVULAS A PUERTO,PP,PP-HRN-LGC-HARINA,PP-HRN-LGC-VALVULAS A PUERTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,8
366559,58a0c5ec-573a-4dcc-9a0e-9d96a2f21f89-000597df,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-EXT-LGC-EXTRACCION > PP-EXT-LGC-SOLVENTE,PP,PP-EXT-LGC-EXTRACCION,PP-EXT-LGC-SOLVENTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,16
366791,58a0c5ec-573a-4dcc-9a0e-9d96a2f21f89-000598c7,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-EXT-LGC-EXTRACCION > PP-EXT-LGC-RECUP GASES,PP,PP-EXT-LGC-EXTRACCION,PP-EXT-LGC-RECUP GASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
366838,58a0c5ec-573a-4dcc-9a0e-9d96a2f21f89-000598f6,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-EXT-LGC-EXTRACCION > PP-EXT-LGC-DESTILACION,PP,PP-EXT-LGC-EXTRACCION,PP-EXT-LGC-DESTILACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,19
366859,58a0c5ec-573a-4dcc-9a0e-9d96a2f21f89-0005990b,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-EXT-LGC-EXTRACCION,PP,PP-EXT-LGC-EXTRACCION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,78,0
366922,58a0c5ec-573a-4dcc-9a0e-9d96a2f21f89-0005994a,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-EXT-LGC-EXTRACCION > PP-EXT-TST-DT01,PP,PP-EXT-LGC-EXTRACCION,PP-EXT-TST-DT01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,14
367233,83998b8f-3075-40bb-b815-6060fbf51833-00059a81,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-LCT-LGC-LECITINA > PP_LCT_ESTANDARIZADO,PP,PP-LCT-LGC-LECITINA,PP_LCT_ESTANDARIZADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
367512,83998b8f-3075-40bb-b815-6060fbf51833-00059b98,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-LCT-LGC-LECITINA > PP_LCT_EVAPORADORES,PP,PP-LCT-LGC-LECITINA,PP_LCT_EVAPORADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
