codigo_project,descripcion_project,element_id_contenedor,unique_id_contenedor,btz_path_contenedor,tipo_asociacion,ancestro_project_usado,estado_asociacion,escrito_en_btz_description,btz_description_slot_usado,motivo
PP-DSC-CCC-DCCC06,CCC06 (CROWN CASCADA COOLER) | Grupo: PP-CCC,184070,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cf06,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_08,escrito_slot_05_80
PP-DSC-CCC-DCCC07,CCC07 (CROWN CASCADA COOLER) | Grupo: PP-CCC,183538,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ccf2,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_09,escrito_slot_05_80
PP-DSC-CCC-DCCC08,CCC08 (CROWN CASCADA COOLER) | Grupo: PP-CCC,183638,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cd56,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_11,escrito_slot_05_80
PP-DSC-VNT-DVE11,VENTILADOR DVE11 (LADO NORTE) | Grupo: PP-VNT DVE11-DVE12,183810,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ce02,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_09,escrito_slot_05_80
PP-DSC-CCL-CDVE11,CICLON VENTILADOR DVE11 (LADO NORTE) | Grupo: PP-CCL CICLON DESCASC,184070,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cf06,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_09,escrito_slot_05_80
PP-DSC-VLV-DVR13,VALV. ROT CICLON CASC (DVE11) | Grupo: PP-VLV ROTATIVA DVR13 Y DVR14,183538,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ccf2,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_10,escrito_slot_05_80
PP-DSC-VNT-DVE12,VENTILADOR DVE12 (LADO SUR) | Grupo: PP-VNT DVE11-DVE12,183638,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cd56,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_12,escrito_slot_05_80
PP-DSC-CCL-CDVE12,CICLON VENTILADOR DVE12 (LADO SUR) | Grupo: PP-CCL CICLON DESCASC,183810,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ce02,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_10,escrito_slot_05_80
PP-DSC-VLV-DVR14,VALVULA ROT. DESCARGA  CASCARA (DVE12) | Grupo: PP-VLV ROTATIVA DVR13 Y DVR14,184070,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cf06,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_10,escrito_slot_05_80
PP-DSC-LGC-DCCD,CONJUNTO DCCD PRIMERA PASADA DESCASCARADO PTA PTO | Grupo: PP-CONJ DCCD,183538,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ccf2,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_11,escrito_slot_05_80
PP-DSC-ART-DART02,AEROTERMO DE LAS CASCADAS(DVE04-DVE05) | Grupo: PP-ART AEROTERMO DESC,183638,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cd56,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_13,escrito_slot_05_80
PP-DSC-CCC-DCCD01,DCCD01 DESC PRIMERA PASADA | Grupo: PP-CCC,183810,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ce02,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_11,escrito_slot_05_80
PP-DSC-CCC-DCCD02,DCCD02 DESC PRIMERA PASADA | Grupo: PP-CCC,184070,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cf06,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_11,escrito_slot_05_80
PP-DSC-CCC-DCCD03,DCCD03 DESC PRIMERA PASADA | Grupo: PP-CCC,183538,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ccf2,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_12,escrito_slot_05_80
PP-DSC-CCC-DCCD04,DCCD04 DESC PRIMERA PASADA | Grupo: PP-CCC,183638,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cd56,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_14,escrito_slot_05_80
PP-DSC-CCC-DCCD05,DCCD05 DESC PRIMERA PASADA | Grupo: PP-CCC,183810,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ce02,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_12,escrito_slot_05_80
PP-DSC-CCC-DCCD06,DCCD06 DESC PRIMERA PASADA | Grupo: PP-CCC,184070,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cf06,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_12,escrito_slot_05_80
PP-DSC-VNT-DVE04,VENTILADOR DVE04 DESCASCARADO PRIMERA PASADA | Grupo: PP-VNT DVE04-DVE05,183538,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ccf2,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_13,escrito_slot_05_80
PP-DSC-CCL-CDVE04,CICLON DVE04 | Grupo: PP-CCL CICLON DESCASC,183638,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cd56,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_15,escrito_slot_05_80
PP-DSC-VLV-DVR03,VALVULA ROTATIVA DVE04 | Grupo: PP-VLV ROTATIVA DVR03 Y DVR04,183810,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ce02,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_13,escrito_slot_05_80
PP-DSC-VNT-DVE05,VENTILADOR DVE05 DESCASCARADO PRIMERA PASADA | Grupo: PP-VNT DVE04-DVE05,184070,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cf06,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_13,escrito_slot_05_80
PP-DSC-CCL-CDVE05,CICLON DVE05 | Grupo: PP-CCL CICLON DESCASC,183538,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ccf2,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_14,escrito_slot_05_80
PP-DSC-VLV-DVR04,VALVULA ROTATIVA DVE05 | Grupo: PP-VLV ROTATIVA DVR03 Y DVR04,183638,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cd56,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_16,escrito_slot_05_80
PP-DSC-LGC-MOLINO,SECTOR MOLINO DESCASCARADO PTA PTO | Grupo: PP-SECTOR MOLINO DESC,183810,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ce02,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_14,escrito_slot_05_80
PP-DSC-BMB-DBS01,SOPLANTE ROOTS CASC A PELLETEADO | Grupo: PP-BMB SOPLANTE DBS01,184070,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cf06,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_14,escrito_slot_05_80
PP-DSC-MLN-DM01,MOLINO A MARTILLO DE CASCARA | Grupo: PP-MLN DM01,183538,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ccf2,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_15,escrito_slot_05_80
PP-DSC-RSC-DMA01,ROSCA ALIMENTADOR DE DM01 | Grupo: PP-RSC ALIM DMA01,183638,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cd56,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_17,escrito_slot_05_80
PP-DSC-RSC-DSF09,ROSCA DSF09 A DMA01 (MOLINO CASCARA) | Grupo: PP-RSC-DSF09,183810,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ce02,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_15,escrito_slot_05_80
PP-DSC-RSC-DSFM01,SALIDA DE MOLINO DM01 | Grupo: PP-RSC-DSFM01,184070,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cf06,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_15,escrito_slot_05_80
PP-DSC-VLV-DVR16,CONJUNTO VALVULA ROTATIVA GRANDE DVR16 (SOPLANTE DBS01) | Grupo: PP-VLV ROTATIVA CONJUNTO DVR16,183538,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ccf2,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_16,escrito_slot_05_80
PP-DSC-LGC-QUEBRADORES,SECTOR QUEBRADORES PRIMARIOS PTA PTO | Grupo: PP-SECTOR QBR DESC,183638,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cd56,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_18,escrito_slot_05_80
PP-DSC-QBR-DQ01,QUEBRADOR DQ01 DESC PRIMERA PASADA | Grupo: PP-QBR BUHLER,183810,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ce02,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_16,escrito_slot_05_80
PP-DSC-ALM-DQA01,ALIMENTADOR DQA01 | Grupo: PP-ALM QBR BUHLER,184070,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cf06,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_16,escrito_slot_05_80
PP-DSC-QBR-DQ02,QUEBRADOR DQ02 DESC PRIMERA PASADA | Grupo: PP-QBR BUHLER,183538,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ccf2,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_17,escrito_slot_05_80
PP-DSC-ALM-DQA02,ALIMENTADOR DQA02 | Grupo: PP-ALM QBR BUHLER,183638,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cd56,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_19,escrito_slot_05_80
PP-DSC-QBR-DQ03,QUEBRADOR DQ03 DESC PRIMERA PASADA | Grupo: PP-QBR BUHLER,183810,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ce02,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_17,escrito_slot_05_80
PP-DSC-ALM-DQA03,ALIMENTADOR DQA03 | Grupo: PP-ALM QBR BUHLER,184070,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cf06,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_17,escrito_slot_05_80
PP-DSC-QBR-DQ04,QUEBRADOR DQ04 DESC PRIMERA PASADA | Grupo: PP-QBR DQ04,183538,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ccf2,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_18,escrito_slot_05_80
PP-DSC-ALM-DQA04,ALIMENTADOR DQA04 | Grupo: PP-ALM QBR DQA04,183638,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cd56,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_20,escrito_slot_05_80
PP-DSC-QBR-DQ05,QUEBRADOR DQ05 DESC PRIMERA PASADA | Grupo: PP-QBR BUHLER,183810,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ce02,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_18,escrito_slot_05_80
PP-DSC-ALM-DQA05,ALIMENTADOR DQA05 | Grupo: PP-ALM QBR BUHLER,184070,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cf06,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_18,escrito_slot_05_80
PP-DSC-QBR-DQ06,QUEBRADOR DQ06 DESC PRIMERA PASADA | Grupo: PP-QBR BUHLER,183538,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ccf2,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_19,escrito_slot_05_80
PP-DSC-ALM-DQA06,ALIMENTADOR DQA06 | Grupo: PP-ALM QBR BUHLER,183638,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cd56,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_21,escrito_slot_05_80
PP-DSC-LGC-REDLER,CONJUNTO REDLER DESCASCARADO PTA PTO | Grupo: PP-CONJ RDL DESC,183810,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ce02,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_19,escrito_slot_05_80
PP-DSC-RDL-DR02,REDLER DR02 CARGA QUEBRADORES DESCASCARADO PRIMERA PASADA | Grupo: PP-REDLER DR02,184070,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cf06,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_19,escrito_slot_05_80
PP-DSC-RDL-DR05A,RECIBE RZ01A A DR05 (QUEBRADORES) | Grupo: PP-REDLER DR05A,183538,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ccf2,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_20,escrito_slot_05_80
PP-DSC-RDL-DR08,REDLER DR08 REDLER A RZ02 | Grupo: PP-REDLER DR08,183638,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cd56,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_22,escrito_slot_05_80
