element_id_contenedor,unique_id_contenedor,btz_path_contenedor,cantidad_codigos_en_csv_fuente,ejemplo_codigos,existe_en_revit,unique_id_coincide,cantidad_btz_ocupados_actuales,cantidad_slots_libres_actuales,cantidad_a_escribir,cantidad_ya_existia,cantidad_sin_slot,motivo_si_no_escribe
380547,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005ce83,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-TAMIZADORES,15,P10-HRN-BTD-BA01; P10-HRN-RSC-SFBA01; P10-HRN-RSC-BAA01; P10-HRN-BTD-BA02; P10-HRN-RSC-SFBA02; P10-HRN-RSC-BAA02; P10-HRN-BTD-BA03; P10-HRN-RSC-SFBA03,SI,SI,18,62,0,15,0,todos_ya_existian
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,78,P10-HRN-RSC-EGSF01; P10-HRN-RSC-EGSF02; P10-HRN-RSC-EGSF03; P10-HRN-RSC-EGSF04; P10-HRN-VNT-VE27; P10-HRN-CCL-CVE27; P10-HRN-VLV-VR20; P10-HRN-VNT-VE28,SI,SI,80,0,0,77,1,sin_slots_libres
281487,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044b8f,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG02,15,P10-HRN-RSC-EGSF05; P10-HRN-RSC-EGSF06; P10-HRN-RSC-EGSF07; P10-HRN-VNT-VE35; P10-HRN-CCL-CVE35; P10-HRN-VLV-VR28; P10-HRN-VNT-VE36; P10-HRN-CCL-CVE36,SI,SI,18,62,0,15,0,todos_ya_existian
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,49,P10-PRP-ENF-EE01; P10-PRP-VLV-VREE1; P10-PRP-VNT-VE21; P10-PRP-VNT-VE22; P10-PRP-VNT-VE23; P10-PRP-VNT-VE24; P10-PRP-VNT-VE25; P10-PRP-VNT-VE26,SI,SI,52,28,0,49,0,todos_ya_existian
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,61,P10-PRP-CHD-LCH01; P10-PRP-CHD-LCH02; P10-PRP-CHD-LCH03; P10-PRP-CHD-LCH04; P10-PRP-LMN-LF01; P10-PRP-ALM-ALF01; P10-PRP-CHD-LFBH01; P10-PRP-LMN-L01,SI,SI,64,16,0,61,0,todos_ya_existian
281069,a027b4da-4e9c-44ad-b607-5fb48d4c7061-000449ed,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-QUEBRADORES,26,P10-PRP-QBR-Q01; P10-PRP-ALM-AQ01; P10-PRP-QBR-Q02; P10-PRP-ALM-AQ02; P10-PRP-QBR-Q03; P10-PRP-ALM-AQ03; P10-PRP-QBR-Q04; P10-PRP-ALM-AQ04,SI,SI,29,51,0,26,0,todos_ya_existian
385396,3ade3506-4f84-4896-9589-30d81e40c276-0005e174,P10 > P10-PRL-LGC-PRELIMPIEZA > P10-PRL-LGC-MULTIASPIRADORES,19,P10-PRL-MLT-ASP1; P10-PRL-ALM-AS01A; P10-PRL-ALM-AS01B; P10-PRL-VNT-VE01; P10-PRL-CCL-CVE01; P10-PRL-VLV-VR01; P10-PRL-MLT-ASP2; P10-PRL-ALM-AS02A,SI,SI,22,58,0,19,0,todos_ya_existian
384012,e0118a5a-e983-4b93-852f-e273cc5f6243-0005dc0c,P10 > P10-PRL-LGC-PRELIMPIEZA > P10-PRL-LGC-SILOS > P10-PRL-SLO-SRECUP,1,P10-PRL-VLV-VR19,SI,SI,5,75,0,1,0,todos_ya_existian
385248,3ade3506-4f84-4896-9589-30d81e40c276-0005e0e0,P10 > P10-PRL-LGC-PRELIMPIEZA > P10-PRL-LGC-MERMA,9,P10-PRL-BTD-BA06; P10-PRL-RSC-SF20; P10-PRL-DSP-DSP01; P10-PRL-ALM-M3DP; P10-PRL-ALM-M2DP; P10-PRL-VLV-VR36; P10-PRL-RSC-SF19; P10-PRL-VNT-M1DP,SI,SI,12,68,0,9,0,todos_ya_existian
365213,5058d264-a8f9-4ba1-9628-877e44bc2201-0005929d,P10 > P10-SRV-LGC-SERVICIOS > P10-SRV-LGC-OSMOSIS,14,P10-OSM-BMB-BAP01; P10-OSM-BMB-BAP02; P10-OSM-BMB-BC2; P10-OSM-BMB-BC1; P10-OSM-BMB-BC251; P10-OSM-BMB-BD01; P10-OSM-BMB-BD02; P10-OSM-BMB-BO68,SI,SI,17,63,0,14,0,todos_ya_existian
