element_id,unique_id,category,family,type,name,mark,comments,btz_numero_activo,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,btz_path_detectado,cantidad_btz_description_con_valor
374208,1dd9711a-59af-4c3f-8b41-17903a787e86-0005b5c0,Generic Models,Generic Models 14,Generic Models 1,Generic Models 1,,,TE-TDM-CNT-C05,TE,TE-TDM-LGC-TORRE DE MANIPULEO,TE-TDM-LGC-GALERIA C01/C05,TE-TDM-CNT-C05,TE-TDM-VLV-Q01,TE-TDM-VLV-Q02,TE-TDM-VLV-Q03,TE-TDM-VLV-Q04,TE-TDM-VLV-Q05,TE-TDM-VLV-Q06,TE-TDM-CNT-SACAMMETALES,TE-TDM-BMB-BATM2,TE-TDM-FLT-FMTDM,TE-TDM-LGC-BALANZAS EMBARQUE,TE-TDM-VLV-ABE3,TE-TDM-AIR-AIRTM0-2,TE-TDM-SRN-SIR,TE-TDM-VLV-P81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-TDM-LGC-TORRE DE MANIPULEO > TE-TDM-LGC-GALERIA C01/C05 > TE-TDM-CNT-C05 > TE-TDM-VLV-Q01 > TE-TDM-VLV-Q02 > TE-TDM-VLV-Q03 > TE-TDM-VLV-Q04 > TE-TDM-VLV-Q05 > TE-TDM-VLV-Q06 > TE-TDM-CNT-SACAMMETALES > TE-TDM-BMB-BATM2 > TE-TDM-FLT-FMTDM > TE-TDM-LGC-BALANZAS EMBARQUE > TE-TDM-VLV-ABE3 > TE-TDM-AIR-AIRTM0-2 > TE-TDM-SRN-SIR > TE-TDM-VLV-P81,18
374459,1dd9711a-59af-4c3f-8b41-17903a787e86-0005b6bb,Generic Models,puert8,puert,puert,,,TE-TDM-LGC-ELEVADORES,TE,TE-TDM-LGC-TORRE DE MANIPULEO,TE-TDM-ASC-ASCENSOR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-TDM-LGC-TORRE DE MANIPULEO > TE-TDM-ASC-ASCENSOR 1,3
374802,1dd9711a-59af-4c3f-8b41-17903a787e86-0005b812,Generic Models,puert9,puert,puert,,,,TE,TE-TDM-LGC-TORRE DE MANIPULEO,TE-TDM-LGC-PENDULARES TDM,,TE-TDM-BMB-BDPO,TE-TDM-BMB-BSFMTDM-2,TE-EMB-VLV-VPBE1,TE-TDM-VLV-P21,TE-TDM-CCM-CCMP2,TE-TDM-PND-PEN1,TE-TDM-PND-PEN2,TE-TDM-PND-PEN3,TE-TDM-VLV-AP,TE-TDM-VLV-P51,TE-TDM-MLC-FOSOTDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-TDM-LGC-TORRE DE MANIPULEO > TE-TDM-LGC-PENDULARES TDM > TE-TDM-BMB-BDPO > TE-TDM-BMB-BSFMTDM-2 > TE-EMB-VLV-VPBE1 > TE-TDM-VLV-P21 > TE-TDM-CCM-CCMP2 > TE-TDM-PND-PEN1 > TE-TDM-PND-PEN2 > TE-TDM-PND-PEN3 > TE-TDM-VLV-AP > TE-TDM-VLV-P51 > TE-TDM-MLC-FOSOTDM,14
375014,8accc226-fd17-4cff-b8d4-a22c3cd8ef0a-0005b8e6,Generic Models,puert10,puert,puert,,,TE-TDM-LGC-CINTAS TRANSFERENCI,TE,TE-TDM-LGC-TORRE DE MANIPULEO,TE-TDM-LGC-CCM TDM,TE-TDM-CCM-CCMP0,TE-TDM-AIR-AIRTM0-1,TE-TDM-CMP-TM,TE-TDM-AIR-AIRTM0-2,TE-TDM-GNR-GENERADOR GEP2183,TE-TDM-CCM-CCMP2,TE-TDM-AIR-AIRTM2-1,TE-TDM-AIR-AIRTM2-2,TE-TDM-INCENDIO,TE-TDM-LGC-BANCO DE CAPACITORE,TE-TDM-LGC-SIRENAS TDM,TE-TDM-SRN-SIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-TDM-LGC-TORRE DE MANIPULEO > TE-TDM-LGC-CCM TDM > TE-TDM-CCM-CCMP0 > TE-TDM-AIR-AIRTM0-1 > TE-TDM-CMP-TM > TE-TDM-AIR-AIRTM0-2 > TE-TDM-GNR-GENERADOR GEP2183 > TE-TDM-CCM-CCMP2 > TE-TDM-AIR-AIRTM2-1 > TE-TDM-AIR-AIRTM2-2 > TE-TDM-INCENDIO > TE-TDM-LGC-BANCO DE CAPACITORE > TE-TDM-LGC-SIRENAS TDM > TE-TDM-SRN-SIR,15
376778,8accc226-fd17-4cff-b8d4-a22c3cd8ef0a-0005bfca,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,dividir e ¿n 8 sectores,TE-SCD-LGC-REDLER SECADORA,TE,TE-SCD-LGC-SECTOR SECADORA,TE-SEC-NOR-EL7,TE-SEC-VLV-V3,TE-SEC-VLV-V4,TE-SEC-NOR-EL8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-SCD-LGC-SECTOR SECADORA > TE-SEC-NOR-EL7 > TE-SEC-VLV-V3 > TE-SEC-VLV-V4 > TE-SEC-NOR-EL8,6
376800,8accc226-fd17-4cff-b8d4-a22c3cd8ef0a-0005bfe0,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,dividir e ¿n 8 sectores,TE-SEC-NOR-EL7,TE,TE-SCD-LGC-SECTOR SECADORA,TE-SCD-FLT-FMAMAP,TE-SCD-VLV-VRFMAMAP,TE-SCD-VNT-VLFMAMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-SCD-LGC-SECTOR SECADORA > TE-SCD-FLT-FMAMAP > TE-SCD-VLV-VRFMAMAP > TE-SCD-VNT-VLFMAMAP,5
376826,8accc226-fd17-4cff-b8d4-a22c3cd8ef0a-0005bffa,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,dividir e ¿n 8 sectores,,TE,TE-SCD-LGC-SECTOR SECADORA,TE-SCD-LGC-QUEMADORES,TE-SEC-QMD-QM01,TE-SEC-QMD-QM02,TE-SEC-QMD-QM03,TE-SEC-QMD-QM04,TE-SEC-QMD-QM05,TE-SEC-QMD-QM06,TE-SCD-LGC-VENTIL AIRE CALIENT,TE-SEC-VNT-VE01 AIRE CAL,TE-SEC-VNT-VE02 AIRE CAL,TE-SEC-VNT-VE03 AIRE CAL,TE-SEC-VNT-VE04 AIRE CAL,TE-SEC-VNT-VE05 AIRE CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-SCD-LGC-SECTOR SECADORA > TE-SCD-LGC-QUEMADORES > TE-SEC-QMD-QM01 > TE-SEC-QMD-QM02 > TE-SEC-QMD-QM03 > TE-SEC-QMD-QM04 > TE-SEC-QMD-QM05 > TE-SEC-QMD-QM06 > TE-SCD-LGC-VENTIL AIRE CALIENT > TE-SEC-VNT-VE01 AIRE CAL > TE-SEC-VNT-VE02 AIRE CAL > TE-SEC-VNT-VE03 AIRE CAL > TE-SEC-VNT-VE04 AIRE CAL > TE-SEC-VNT-VE05 AIRE CAL,15
376896,8accc226-fd17-4cff-b8d4-a22c3cd8ef0a-0005c040,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,,PP,PP-HRN-LGC-HARINA,PP-HRN-LGC-NORIAS,PP-HRN-NOR-N03,PP-HRN-NOR-N04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP > PP-HRN-LGC-HARINA > PP-HRN-LGC-NORIAS > PP-HRN-NOR-N03 > PP-HRN-NOR-N04,5
376995,8accc226-fd17-4cff-b8d4-a22c3cd8ef0a-0005c0a3,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,,P10,P10-PRP-LGC-PREPARACION,P10-PRP-LGC-REDLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-REDLER,3
377104,8accc226-fd17-4cff-b8d4-a22c3cd8ef0a-0005c110,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,,P10,P10-HRN-LGC-HARINA,P10-HRN-LGC-REDLER,P10-HRN-RDL-R23,P10-HRN-RDL-R24,P10-HRN-RDL-R25,P10-HRN-RSC-SF26,P10-HRN-RDL-R26,P10-HRN-RDL-R27,P10-HRN-RDL-R28,P10-HRN-RDL-R29,P10-HRN-RDL-R30,P10-HRN-RDL-R31,P10-HRN-RDL-R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-REDLER > P10-HRN-RDL-R23 > P10-HRN-RDL-R24 > P10-HRN-RDL-R25 > P10-HRN-RSC-SF26 > P10-HRN-RDL-R26 > P10-HRN-RDL-R27 > P10-HRN-RDL-R28 > P10-HRN-RDL-R29 > P10-HRN-RDL-R30 > P10-HRN-RDL-R31 > P10-HRN-RDL-R32,14
377635,c5ee6896-39ff-4562-be63-4682b50c65ca-0005c323,Generic Models,puert11,puert,puert,,,,P10,P10-HRN-LGC-HARINA,P10-HRN-FLT-FMHRN,P10-HRN-BRL-BRL3,P10-HRN-RSC-HSF01,P10-HRN-VLV-VR32,P10-HRN-VNT-VE64,P10-HRN-VNT-VE65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P10 > P10-HRN-LGC-HARINA > P10-HRN-FLT-FMHRN > P10-HRN-BRL-BRL3 > P10-HRN-RSC-HSF01 > P10-HRN-VLV-VR32 > P10-HRN-VNT-VE64 > P10-HRN-VNT-VE65,8
377655,c5ee6896-39ff-4562-be63-4682b50c65ca-0005c337,Generic Models,puert12,puert,puert,,,P10-PRL-ACS-TPRL,P10,P10-PRL-LGC-PRELIMPIEZA,P10-PRL-ACS-TPRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P10 > P10-PRL-LGC-PRELIMPIEZA > P10-PRL-ACS-TPRL,3
377972,c5ee6896-39ff-4562-be63-4682b50c65ca-0005c474,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,,P10,P10-GRL-LGC-EQUIPOS SEGURIDAD,P10-SRA-BMB-BO70,P10-SRA-BMB-JOCKEY,P10-SRA-BMB-BOIN,P10-SRA-MTD-MDBOIN,P10-SRA-SLA-SALA BOIN,P10-SRA-VLV-VSBOIN,P10-GRL-SRN-SIRPRP,P10-SRA-TNQ-TKRED,P10-SRA-BMB-DOSIF APL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P10 > P10-GRL-LGC-EQUIPOS SEGURIDAD > P10-SRA-BMB-BO70 > P10-SRA-BMB-JOCKEY > P10-SRA-BMB-BOIN > P10-SRA-MTD-MDBOIN > P10-SRA-SLA-SALA BOIN > P10-SRA-VLV-VSBOIN > P10-GRL-SRN-SIRPRP > P10-SRA-TNQ-TKRED > P10-SRA-BMB-DOSIF APL,11
