planta_codigo,sector_codigo,sector_nombre,nivel_manual,nombre_visible,codigo_lgc,description_destino,codigo_sector_lgc,codigo_subsector_lgc,codigo_unidad_manual,nombre_unidad_manual
P10,EXT,EXTRACCION,SUBSECTOR,RECUP GASES,P10-EXT-LGC-RECUP GASES,BTZ_Description_03,P10-EXT-LGC-EXTRACCION,P10-EXT-LGC-RECUP GASES,,
P10,EXT,EXTRACCION,SUBSECTOR,SOLVENTE,P10-EXT-LGC-SOLVENTE,BTZ_Description_03,P10-EXT-LGC-EXTRACCION,P10-EXT-LGC-SOLVENTE,,
P10,HRN,HARINA,SUBSECTOR,MOLINOS,P10-HRN-LGC-MOLINOS,BTZ_Description_03,P10-HRN-LGC-HARINA,P10-HRN-LGC-MOLINOS,,
P10,HRN,HARINA,SUBSECTOR,NORIAS,P10-HRN-LGC-NORIAS,BTZ_Description_03,P10-HRN-LGC-HARINA,P10-HRN-LGC-NORIAS,,
P10,HRN,HARINA,SUBSECTOR,REDLER,P10-HRN-LGC-REDLER,BTZ_Description_03,P10-HRN-LGC-HARINA,P10-HRN-LGC-REDLER,,
P10,HRN,HARINA,SUBSECTOR,SEC. ROTATIVOS,P10-HRN-LGC-SEC. ROTATIVOS,BTZ_Description_03,P10-HRN-LGC-HARINA,P10-HRN-LGC-SEC. ROTATIVOS,,
P10,HRN,HARINA,SUBSECTOR,TAMIZADORES,P10-HRN-LGC-TAMIZADORES,BTZ_Description_03,P10-HRN-LGC-HARINA,P10-HRN-LGC-TAMIZADORES,,
P10,PRL,PRELIMPIEZA,SUBSECTOR,MERMA,P10-PRL-LGC-MERMA,BTZ_Description_03,P10-PRL-LGC-PRELIMPIEZA,P10-PRL-LGC-MERMA,,
P10,PRL,PRELIMPIEZA,SUBSECTOR,MULTIASPIRADORES,P10-PRL-LGC-MULTIASPIRADORES,BTZ_Description_03,P10-PRL-LGC-PRELIMPIEZA,P10-PRL-LGC-MULTIASPIRADORES,,
P10,PRL,PRELIMPIEZA,SUBSECTOR,NORIAS/CINTAS,P10-PRL-LGC-NORIAS/CINTAS,BTZ_Description_03,P10-PRL-LGC-PRELIMPIEZA,P10-PRL-LGC-NORIAS/CINTAS,,
P10,PRL,PRELIMPIEZA,SUBSECTOR,REDLER,P10-PRL-LGC-REDLER,BTZ_Description_03,P10-PRL-LGC-PRELIMPIEZA,P10-PRL-LGC-REDLER,,
P10,PRL,PRELIMPIEZA,SUBSECTOR,SILOS,P10-PRL-LGC-SILOS,BTZ_Description_03,P10-PRL-LGC-PRELIMPIEZA,P10-PRL-LGC-SILOS,,
P10,PRL,PRELIMPIEZA,SUBSECTOR,VALVULAS VGP,P10-PRL-LGC-VALVULAS VGP,BTZ_Description_03,P10-PRL-LGC-PRELIMPIEZA,P10-PRL-LGC-VALVULAS VGP,,
