type_comments,workset,BTZ_Description_06,keynote,mark,comments,uniformat_description,macro_group,BTZ_Description_07,category_name,BTZ_Description_12,structural_usage,BTZ_Description,BTZ_Description_04,type_name,element_name,level_name,type_mark,BTZ_Description_03,BTZ_Description_08,group_key,BTZ_Description_09,BTZ_Description_01,BTZ_Description_13,element_id,family_name,BTZ_Description_05,BTZ_Description_11,host_category,uniformat_code,BTZ_Description_10,BTZ_Description_02,unique_id,structural_material,type_description
,Subproyecto1,,,,CIR_01_V02;CIR_02_V02;CIR_05_V02;CIR_05_V03;PTD_E3_V03;PTD_F5_V03,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,171135,,,,,,,,358aa91e-12c5-4b99-b609-4e1e7ac885f9-00029c7f,Plástico,
,Subproyecto1,,,,PTD_A2;PTC_B3;PTD_E3_V03;PTD_F5_V03,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,171365,,,,,,,,358aa91e-12c5-4b99-b609-4e1e7ac885f9-00029d65,Plástico,
,Subproyecto1,,,,PTD_A2;PTC_B3;PTD_E3_V03;PTC_E2_V02;PTD_A2_V02;PTD_F5_V03,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,171445,,,,,,,,358aa91e-12c5-4b99-b609-4e1e7ac885f9-00029db5,Plástico,
,Subproyecto1,,,,PTD_A1;PTC_B1;PTC_E3_V03;PTC_B1_V01;PTD_B1_V01;PTC_E01_V01;PTC_F4_V01;PTD_F3_V01;PTD_F6_V01,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,173419,,,,,,,,d112fcda-fad5-481f-8e37-b7906a02986c-0002a56b,Plástico,
,Subproyecto1,,,,PTD_F3_V01;PTD_F6_V01,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,173525,,,,,,,,d112fcda-fad5-481f-8e37-b7906a02986c-0002a5d5,Plástico,
,Subproyecto1,,,,PTD_A1;PTC_B1;PTC_B1_V01;PTC_E01_V01;PTD_F3_V01;PTD_F6_V01,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,173615,,,,,,,,d112fcda-fad5-481f-8e37-b7906a02986c-0002a62f,Plástico,
,Subproyecto1,,,,PTD_A1_V01;PTC_B1_V01;PTC_E3_V03;PTD_B1_V01;PTC_E01_V01;PTC_F4_V01;PTD_F3_V01;PTD_F6_V01,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,173699,,,,,,,,d112fcda-fad5-481f-8e37-b7906a02986c-0002a683,Plástico,
,Subproyecto1,,,,CIR_01_V01;CIR_01_V02;CIR_01_V03;CIR_01_V04;CIR_01_V05;CIR_01_V06;CIR_06_V01;CIR_02_V01;CIR_02_V02;CIR_02_V03;CIR_02_V04;CIR_02_V05;CIR_05_V02;CIR_08_V02;CIR_07_V01;CIR_07_V02;CIR_08_V01;CIR_08_V03,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,174051,,,,,,,,d112fcda-fad5-481f-8e37-b7906a02986c-0002a7e3,Plástico,
,Subproyecto1,,,,CIR_01_V01;CIR_01_V02;CIR_01_V03;CIR_01_V04;CIR_01_V05;CIR_01_V06;CIR_06_V01;CIR_02_V01;CIR_02_V02;CIR_02_V03;CIR_02_V04;CIR_02_V05;CIR_05_V02;CIR_07_V03;CIR_08_V02;CIR_07_V01;CIR_07_V02;CIR_08_V01;CIR_08_V03,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,174197,,,,,,,,d112fcda-fad5-481f-8e37-b7906a02986c-0002a875,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,174419,,,,,,,,d112fcda-fad5-481f-8e37-b7906a02986c-0002a953,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,174509,,,,,,,,d112fcda-fad5-481f-8e37-b7906a02986c-0002a9ad,Plástico,
,Subproyecto1,,,,PTC_D1_V01,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,174589,,,,,,,,d112fcda-fad5-481f-8e37-b7906a02986c-0002a9fd,Plástico,
,Subproyecto1,,,,PTC_D1_V01,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,174680,,,,,,,,d112fcda-fad5-481f-8e37-b7906a02986c-0002aa58,Plástico,
,Subproyecto1,,,,PTD_A6;PTD_A5_V05;PTD_E01_V01;PTD_E02_V02,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,174881,,,,,,,,d112fcda-fad5-481f-8e37-b7906a02986c-0002ab21,Plástico,
,Subproyecto1,,,,PTD_A6;PTD_A5_V05;PTD_E01_V01;PTD_E02_V02,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,174942,,,,,,,,d112fcda-fad5-481f-8e37-b7906a02986c-0002ab5e,Plástico,
,Subproyecto1,,,,PTD_A6;PTD_A5_V05;PTD_E01_V01;PTD_E02_V02,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,174987,,,,,,,,d112fcda-fad5-481f-8e37-b7906a02986c-0002ab8b,Plástico,
,Subproyecto1,,,,PTD_C1_V01;PTD_D1_V01,,otros,,Generic Models,,,,,Modelos genéricos 1,Modelos genéricos 1,,,,,otros|Generic Models|Modelos genéricos 10|Modelos genéricos 1,,,,175478,Modelos genéricos 10,,,,,,,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,,
,Subproyecto1,,,,PTD_C1_V01;PTD_D1_V01,,otros,,Generic Models,,,,,Modelos genéricos 1,Modelos genéricos 1,,,,,otros|Generic Models|Modelos genéricos 9|Modelos genéricos 1,,,,175553,Modelos genéricos 9,,,,,,,d112fcda-fad5-481f-8e37-b7906a02986c-0002adc1,,
,Subproyecto1,,,,PTD_A3_V03;PTC_B3_V03;PTD_E2_V02;PTD_B2_V03;PTD_A2_V02;PTC_E02_V02;PTD_F4_V01;PTC_F6_V01,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,181814,,,,,,,,cded2142-e338-43a3-afff-586b29ff4baa-0002c636,Plástico,
,Subproyecto1,,,,PTD_A3_V03;PTC_B3_V03;PTD_E2_V02;PTD_B2_V03;PTC_E02_V02;PTD_F4_V01;PTC_F6_V01,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,181815,,,,,,,,cded2142-e338-43a3-afff-586b29ff4baa-0002c637,Plástico,
