codigo_project,descripcion_project,element_id_contenedor,unique_id_contenedor,btz_path_contenedor,tipo_asociacion,ancestro_project_usado,estado_asociacion,escrito_en_btz_description,btz_description_slot_usado,motivo
P10-DSC-QBR-QA18,ALIMENADOR Q18 DESC 1RA PASADA,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,contenedor_por_ancestro_project,P10-DSC-LGC-QUEBRADORES,asociado_a_contenedor,SI,btz_description_19,escrito_en_slot_btz
P10-DSC-RDL-R33,REDLER R33 RECIBE DE ZARANDAS ROTEX,378728,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c768,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,contenedor_por_ancestro_project,P10-DSC-LGC-REDLER,asociado_a_contenedor,SI,btz_description_04,escrito_en_slot_btz
P10-DSC-RDL-R34,REDLER R34 RECIBE DE AS04,378728,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c768,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,contenedor_por_ancestro_project,P10-DSC-LGC-REDLER,asociado_a_contenedor,SI,btz_description_05,escrito_en_slot_btz
P10-DSC-RDL-R35,REDLER R35 A MOLINOS DE CASCARA,378728,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c768,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,contenedor_por_ancestro_project,P10-DSC-LGC-REDLER,asociado_a_contenedor,SI,btz_description_06,escrito_en_slot_btz
P10-DSC-RDL-R36,REDLER R36 A R34,378728,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c768,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,contenedor_por_ancestro_project,P10-DSC-LGC-REDLER,asociado_a_contenedor,SI,btz_description_07,escrito_en_slot_btz
P10-DSC-RSC-SF07,CARGA ZARANDA 1,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,contenedor_por_ancestro_project,P10-DSC-LGC-ZARANDAS,asociado_a_contenedor,SI,btz_description_04,escrito_en_slot_btz
P10-DSC-RSC-SF06,CARGA ZARANDA 3,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,contenedor_por_ancestro_project,P10-DSC-LGC-ZARANDAS,asociado_a_contenedor,SI,btz_description_05,escrito_en_slot_btz
P10-DSC-RSC-SF23,RECIBE CASCARA DE Z06 A R33,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,contenedor_por_ancestro_project,P10-DSC-LGC-ZARANDAS,asociado_a_contenedor,SI,btz_description_06,escrito_en_slot_btz
P10-DSC-RSC-SF21,RECIBE DE LAS ROTATIVAS DE LOS CICLONES DE DESCASCARADO (VR68-VR12-VR69-VR13),378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,contenedor_por_ancestro_project,P10-DSC-LGC-ZARANDAS,asociado_a_contenedor,SI,btz_description_07,escrito_en_slot_btz
P10-DSC-RSC-SF22,RECIBE DE VR17 A Z06,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,contenedor_por_ancestro_project,P10-DSC-LGC-ZARANDAS,asociado_a_contenedor,SI,btz_description_08,escrito_en_slot_btz
P10-DSC-RSC-SF24,RECIBE GRUESO DE Z06,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,contenedor_por_ancestro_project,P10-DSC-LGC-ZARANDAS,asociado_a_contenedor,SI,btz_description_09,escrito_en_slot_btz
P10-DSC-ZRN-Z01,ZARANDAS Z01 ROTEX MODELO 5722S,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,contenedor_por_ancestro_project,P10-DSC-LGC-ZARANDAS,asociado_a_contenedor,SI,btz_description_10,escrito_en_slot_btz
P10-DSC-ZRN-Z02,ZARANDAS Z02 ROTEX MODELO 5722S,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,contenedor_por_ancestro_project,P10-DSC-LGC-ZARANDAS,asociado_a_contenedor,SI,btz_description_11,escrito_en_slot_btz
P10-DSC-ZRN-Z03,ZARANDAS Z03 ROTEX MODELO 5722S,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,contenedor_por_ancestro_project,P10-DSC-LGC-ZARANDAS,asociado_a_contenedor,SI,btz_description_12,escrito_en_slot_btz
P10-DSC-ZRN-Z04,ZARANDAS Z04 ROTEX MODELO 5722S,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,contenedor_por_ancestro_project,P10-DSC-LGC-ZARANDAS,asociado_a_contenedor,SI,btz_description_13,escrito_en_slot_btz
P10-DSC-ZRN-Z05,ZARANDAS Z05 ROTEX MODELO 5722S,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,contenedor_por_ancestro_project,P10-DSC-LGC-ZARANDAS,asociado_a_contenedor,SI,btz_description_14,escrito_en_slot_btz
P10-DSC-ZRN-Z06,ZARANDAS Z06 ROTEX MODELO 5722S,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,contenedor_por_ancestro_project,P10-DSC-LGC-ZARANDAS,asociado_a_contenedor,SI,btz_description_15,escrito_en_slot_btz
