codigo_project,element_id_contenedor_detectado,unique_id_contenedor_detectado,btz_path_contenedor,estado_lectura,motivo,columnas_detectadas
P10-EXT-HDR-HCS06E,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCS06O,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCS07E,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCS07O,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCS08E,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCS08O,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCS09E,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCS09O,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCS10E,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCS10O,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-BMB-PSODA,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-BMB-P435A,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-CLT-HX445,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-DSG-C425,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-DSG-C430,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-DSG-C435,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-ENF-HX460,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-INT-HX440,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-BMB-P439,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-SCD-V450,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
