fecha,project_xml,planta,element_id,unique_id,parametro,codigo_anterior,codigo_nuevo,estado,mensaje
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,412029,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-0006497d,BTZ_Description_04,TE-MDU-CSL-CASILLA,TE-MDU-CSL-CASILLA VIGIA OP,corregido,Completado desde etiqueta Project XML
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,412029,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-0006497d,BTZ_Description_05,TE-MDU-CÑR-CAÑERIA,TE-MDU-CÑR-CAÑERIA AKZO NOBE,corregido,Completado desde etiqueta Project XML
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,412029,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-0006497d,BTZ_Description_08,TE-MDU-MLC-M.E.T,TE-MDU-MLC-M.E.T. DE MANGUERA,corregido,Completado desde etiqueta Project XML
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,412029,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-0006497d,BTZ_Description_09,TE-MDU-MNG-MANGUERAS,TE-MDU-MNG-MANGUERAS AKZO NOBE,corregido,Completado desde etiqueta Project XML
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,412029,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-0006497d,BTZ_Description_10,TE-MDU-SIS-SIST,TE-MDU-SIS-SIST DIST AMARRE,corregido,Completado desde etiqueta Project XML
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,412029,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-0006497d,BTZ_Description_11,TE-MDU-TRM-SCRAPPER,TE-MDU-TRM-SCRAPPER AKZO NOBEL,corregido,Completado desde etiqueta Project XML
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,412029,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-0006497d,BTZ_Description_12,TE-MDU-VLV-ELE,TE-MDU-VLV-ELE VAL AKZO NOBEL,corregido,Completado desde etiqueta Project XML
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,412041,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-00064989,BTZ_Description_05,TE-EMB-LGC-CCM,TE-EMB-LGC-CCM EMBARQUE,corregido,Completado desde etiqueta Project XML
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,412209,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-00064a31,BTZ_Description_02,TE-ACT-LGC-SECTOR,TE-ACT-LGC-SECTOR ACEITE,corregido,Completado desde etiqueta Project XML
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,412209,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-00064a31,BTZ_Description_03,TE-GLC-LGC-BOMBAS,TE-GLC-LGC-BOMBAS GLICERINA,corregido,Completado desde etiqueta Project XML
