element_id_contenedor,unique_id_contenedor,btz_path_contenedor,codigo_project,descripcion_project,slots_libres,cantidad_hijos_asignados,motivo_omision
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-BMB-EBLI04,BOMBA ACEITE LUBR. RODAM.,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-BMB-EBLE04,BOMBA ACEITE REFRIGERACION REDUCTOR E04,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-VNT-VRA04,VENTIALDOR RECIRCULACION ACEITE EXPANDER E04,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-EXP-E05,EXPANDER E05,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-ALM-AE05,ALIM. EXPANDER E05,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-BMB-EBLI05,BOMBA ACEITE LUBR. RODAM.,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-BMB-EBLE05,BOMBA ACEITE REFRIGERACION REDUCTOR E05,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-VNT-VRA05,VENTIALDOR RECIRCULACION ACEITE EXPANDER E05,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-EXP-E06,EXPANDER E06,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-ALM-AE06,ALIM. EXPANDER E06,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-BMB-EBLI06,BOMBA ACEITE LUBR. RODAM.,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-BMB-EBLE06,BOMBA ACEITE REFRIGERACION REDUCTOR E06,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-VNT-VRA06,VENTIALDOR RECIRCULACION ACEITE EXPANDER E06,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-RSC-SF10,SIN FIN DE FINOS ENFRIADORES EXPANDIDO,27,49,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-LMN-L11,LAMINADOR L11 LINEA 1 LADO OESTE,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-ALM-AL11,ALIM. LAMINADOR L11,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-LMN-L12,LAMINADOR L12 LINEA 2 LADO ESTE,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-ALM-AL12,ALIM. LAMINADOR L12,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-LMN-L13,LAMINADOR L13 LINEA 2,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-ALM-AL13,ALIM. LAMINADOR L13,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-LMN-L14,LAMINADOR L14 LINEA 2,27,61,asociado_por_csv_externo_supera_slots_btz
