element_id,unique_id,category,family,type,name,mark,comments,btz_numero_activo,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,btz_path_detectado,cantidad_btz_description_con_valor
398765,613b2511-9188-4473-a91f-b1bad0266697-000615ad,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-PRP-LGC-REDLER,,PP-HRN-LGC-HARINA,PP-HRN-LGC-REDLER,PP-HRN-RDL-R20,PP-HRN-RDL-R22,PP-HRN-RDL-R23,PP-HRN-RDL-R24,PP-HRN-RDL-R25,PP-HRN-RDL-R26,PP-HRN-RDL-R27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-HRN-LGC-HARINA > PP-HRN-LGC-REDLER > PP-HRN-RDL-R20 > PP-HRN-RDL-R22 > PP-HRN-RDL-R23 > PP-HRN-RDL-R24 > PP-HRN-RDL-R25 > PP-HRN-RDL-R26 > PP-HRN-RDL-R27,9
399199,613b2511-9188-4473-a91f-b1bad0266697-0006175f,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-PRP-LGC-REDLER,,PP-HRN-LGC-HARINA,PP-HRN-LGC-REDLER,PP-HRN-RDL-R19,PP-HRN-RDL-R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-HRN-LGC-HARINA > PP-HRN-LGC-REDLER > PP-HRN-RDL-R19 > PP-HRN-RDL-R20,4
399999,613b2511-9188-4473-a91f-b1bad0266697-00061a7f,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-PRP-LGC-REDLER,PP,PP-HRN-LGC-HARINA,PP-HRN-LGC-REDLER,PP-HRN-RDL-R18,PP-HRN-RDL-R18A,PP-HRN-RDL-R18B,PP-HRN-RDL-R18C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP > PP-HRN-LGC-HARINA > PP-HRN-LGC-REDLER > PP-HRN-RDL-R18 > PP-HRN-RDL-R18A > PP-HRN-RDL-R18B > PP-HRN-RDL-R18C,7
400854,613b2511-9188-4473-a91f-b1bad0266697-00061dd6,Generic Models,Biodiesel12,Biodiesel,Biodiesel,,Paralelo a linea de tierra,PP-HRN-SRT-SR01,PP,PP-HRN-LGC-HARINA,PP-HRN-SIS-CTRAL LUB SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP > PP-HRN-LGC-HARINA > PP-HRN-SIS-CTRAL LUB SR,3
401091,613b2511-9188-4473-a91f-b1bad0266697-00061ec3,Generic Models,Biodiesel13,Biodiesel,Biodiesel,,,PP-PRL-SLO-SRECUP,PP,PP-HRN-LGC-HARINA,PP-HRN-FLT-FM02,PP-HRN-RSC-SF08,PP-HRN-RSC-SF09,PP-HRN-RSC-SF10,PP-HRN-VLV-VR23A,PP-HRN-VLV-VR23B,PP-HRN-VNT-VE23,PP-HRN-CCL-CVE23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP > PP-HRN-LGC-HARINA > PP-HRN-FLT-FM02 > PP-HRN-RSC-SF08 > PP-HRN-RSC-SF09 > PP-HRN-RSC-SF10 > PP-HRN-VLV-VR23A > PP-HRN-VLV-VR23B > PP-HRN-VNT-VE23 > PP-HRN-CCL-CVE23,10
401551,613b2511-9188-4473-a91f-b1bad0266697-0006208f,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,,PP,PP-HRN-LGC-HARINA,PP-HRN-LGC-VALVULAS A PUERTO,PP-HRN-VLV-VM01,PP-HRN-VLV-VM02,PP-HRN-VLV-VM03,PP-HRN-VLV-VM04,PP-HRN-VLV-VM05,PP-HRN-VLV-VM06,PP-HRN-VLV-VM07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP > PP-HRN-LGC-HARINA > PP-HRN-LGC-VALVULAS A PUERTO > PP-HRN-VLV-VM01 > PP-HRN-VLV-VM02 > PP-HRN-VLV-VM03 > PP-HRN-VLV-VM04 > PP-HRN-VLV-VM05 > PP-HRN-VLV-VM06 > PP-HRN-VLV-VM07,10
401826,2d073a82-2546-46d8-8ab7-4a272b6a40f8-000621a2,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,P10-SRV-LGC-OSMOSIS,PP,PP-SRV-LGC-SERVICIOS,PP-SRV-BMB-BO60,PP-SGR-SAL-SALA BO60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP > PP-SRV-LGC-SERVICIOS > PP-SRV-BMB-BO60 > PP-SGR-SAL-SALA BO60,4
402084,2d073a82-2546-46d8-8ab7-4a272b6a40f8-000622a4,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-SRV-LGC-SERVICIOS,,PP-SRV-LGC-SERVICIOS,PP-SRV-CLT-COLECTOR PRINC,PP-SRV-CLT-COLECTOR SECUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-SRV-LGC-SERVICIOS > PP-SRV-CLT-COLECTOR PRINC > PP-SRV-CLT-COLECTOR SECUND,3
402103,2d073a82-2546-46d8-8ab7-4a272b6a40f8-000622b7,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-SRV-LGC-SERVICIOS,,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-TRAT,PP-SRV-BMB-BO,PP-SRV-IBC-01,PP-SRV-IBC-02,PP-SRV-IBC-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-SRV-LGC-SERVICIOS > PP-SRV-LGC-TRAT > PP-SRV-BMB-BO > PP-SRV-IBC-01 > PP-SRV-IBC-02 > PP-SRV-IBC-03,6
402142,2d073a82-2546-46d8-8ab7-4a272b6a40f8-000622de,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-SRV-LGC-SERVICIOS,,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-VAPOR,PP-SRV-DSR-DESAIREADOR,PP-SRV-BMB-BO47C,PP-SRV-BMB-BO48C,PP-SRV-TNQ-TKRESERV,PP-SRV-VLV-LCV020,PP-SRV-VLV-VSDS,PP-SRV-ECN-ECONO,PP-SRV-VLV-VSEC,PP-SRV-TNQ-TKFLASH,PP-SRV-VLV-VSTK FLASH,PP-SRV-VNT-VE25 VTF,PP-SRV-CIL-060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-SRV-LGC-SERVICIOS > PP-SRV-LGC-VAPOR > PP-SRV-DSR-DESAIREADOR > PP-SRV-BMB-BO47C > PP-SRV-BMB-BO48C > PP-SRV-TNQ-TKRESERV > PP-SRV-VLV-LCV020 > PP-SRV-VLV-VSDS > PP-SRV-ECN-ECONO > PP-SRV-VLV-VSEC > PP-SRV-TNQ-TKFLASH > PP-SRV-VLV-VSTK FLASH > PP-SRV-VNT-VE25 VTF > PP-SRV-CIL-060,14
402164,2d073a82-2546-46d8-8ab7-4a272b6a40f8-000622f4,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-SRV-LGC-SERVICIOS,,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-AIRE COMPRIMIDO,PP-SRV-CMP-CA01,PP-SRV-CMP-CA02,PP-SRV-SCD-SEAIRE1,PP-SRV-SCD-SEAIRE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-SRV-LGC-SERVICIOS > PP-SRV-LGC-AIRE COMPRIMIDO > PP-SRV-CMP-CA01 > PP-SRV-CMP-CA02 > PP-SRV-SCD-SEAIRE1 > PP-SRV-SCD-SEAIRE2,6
