element_id,unique_id,btz_path_contenedor,codigo_project,estado_correccion,btz_description_slot_usado,mensaje
378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,P10-DSC-ZRN-Z01,ya_existia,BTZ_Description_10,El código ya estaba escrito en el elemento
378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,P10-DSC-ZRN-Z02,ya_existia,BTZ_Description_11,El código ya estaba escrito en el elemento
378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,P10-DSC-ZRN-Z03,ya_existia,BTZ_Description_12,El código ya estaba escrito en el elemento
378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,P10-DSC-ZRN-Z04,ya_existia,BTZ_Description_13,El código ya estaba escrito en el elemento
378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,P10-DSC-ZRN-Z05,ya_existia,BTZ_Description_14,El código ya estaba escrito en el elemento
378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,P10-DSC-ZRN-Z06,ya_existia,BTZ_Description_15,El código ya estaba escrito en el elemento
282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,P10-EXT-HDR-HCP01,ya_existia,BTZ_Description_05,El código ya estaba escrito en el elemento
282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,P10-EXT-HDR-HCP02,ya_existia,BTZ_Description_06,El código ya estaba escrito en el elemento
282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,P10-EXT-HDR-HCP03,ya_existia,BTZ_Description_07,El código ya estaba escrito en el elemento
282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,P10-EXT-HDR-HCS01E,ya_existia,BTZ_Description_08,El código ya estaba escrito en el elemento
