element_id	group_key	slots	max_confidence
495832	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495838	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495840	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495846	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495848	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495854	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495856	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495862	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495864	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495870	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495872	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495878	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495880	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495886	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495888	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495894	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495896	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495902	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495904	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503284	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503286	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503292	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503294	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503300	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503302	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503308	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503310	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503316	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503318	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503324	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503326	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503332	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503334	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503340	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503342	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503348	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503350	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503356	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503358	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503364	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503366	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503372	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503374	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503380	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503382	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503388	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503390	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503396	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503398	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
