"nivel_btz","valor_btz","nombre_vista","nombre_filtro","archivo_png","estado","mensaje"
"03","4","EXP_BTZ03_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_SILOS_TE_ALM_SLO_SILO_4","FILTRO_BTZ03_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_SILOS_TE_ALM_SLO_SILO_4","BTZ03_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_SILOS_TE_ALM_SLO_SILO_4.png","ok",""
"03","OSL","EXP_BTZ03_SAN_LORENZO_TE_TE_ACT_LGC_SECTOR_ACEITE_TE_ACT_LGC_TANQUES_ACEITE_OSL","FILTRO_BTZ03_SAN_LORENZO_TE_TE_ACT_LGC_SECTOR_ACEITE_TE_ACT_LGC_TANQUES_ACEITE_OSL","BTZ03_SAN_LORENZO_TE_TE_ACT_LGC_SECTOR_ACEITE_TE_ACT_LGC_TANQUES_ACEITE_OSL.png","ok",""
"03","4","EXP_BTZ03_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_CELDAS_TE_ALM_CLD_CELDA_4","FILTRO_BTZ03_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_CELDAS_TE_ALM_CLD_CELDA_4","BTZ03_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_CELDAS_TE_ALM_CLD_CELDA_4.png","ok",""
"03","ENFRIAMIENTO","EXP_BTZ03_SAN_LORENZO_PP_PP_LCT_LGC_LECITINA_PP_LCT_LGC_TORRES_ENFRIAMIENTO","FILTRO_BTZ03_SAN_LORENZO_PP_PP_LCT_LGC_LECITINA_PP_LCT_LGC_TORRES_ENFRIAMIENTO","BTZ03_SAN_LORENZO_PP_PP_LCT_LGC_LECITINA_PP_LCT_LGC_TORRES_ENFRIAMIENTO.png","ok",""
"03","ACEITE","EXP_BTZ03_SAN_LORENZO_TE_TE_ACT_LGC_SECTOR_ACEITE_TE_ACT_LGC_TANQUES_ACEITE","FILTRO_BTZ03_SAN_LORENZO_TE_TE_ACT_LGC_SECTOR_ACEITE_TE_ACT_LGC_TANQUES_ACEITE","BTZ03_SAN_LORENZO_TE_TE_ACT_LGC_SECTOR_ACEITE_TE_ACT_LGC_TANQUES_ACEITE.png","ok",""
"03","SILOS","EXP_BTZ03_SAN_LORENZO_P10_P10_PRL_LGC_PRELIMPIEZA_P10_PRL_LGC_SILOS","FILTRO_BTZ03_SAN_LORENZO_P10_P10_PRL_LGC_PRELIMPIEZA_P10_PRL_LGC_SILOS","BTZ03_SAN_LORENZO_P10_P10_PRL_LGC_PRELIMPIEZA_P10_PRL_LGC_SILOS.png","ok",""
"03","ROTATIVOS","EXP_BTZ03_SAN_LORENZO_P10_P10_HRN_LGC_HARINA_P10_HRN_LGC_SEC_ROTATIVOS","FILTRO_BTZ03_SAN_LORENZO_P10_P10_HRN_LGC_HARINA_P10_HRN_LGC_SEC_ROTATIVOS","BTZ03_SAN_LORENZO_P10_P10_HRN_LGC_HARINA_P10_HRN_LGC_SEC_ROTATIVOS.png","ok",""
"03","TGR","EXP_BTZ03_SAN_LORENZO_TE_TE_ACT_LGC_SECTOR_ACEITE_TE_GLC_LGC_TANQUES_TGR","FILTRO_BTZ03_SAN_LORENZO_TE_TE_ACT_LGC_SECTOR_ACEITE_TE_GLC_LGC_TANQUES_TGR","BTZ03_SAN_LORENZO_TE_TE_ACT_LGC_SECTOR_ACEITE_TE_GLC_LGC_TANQUES_TGR.png","ok",""
"03","MEDICO","EXP_BTZ03_SAN_LORENZO_TE_TE_ADM_LGC_EDIFICIOS_VARIOS_TE_ADM_EDF_DPTO_MEDICO","FILTRO_BTZ03_SAN_LORENZO_TE_TE_ADM_LGC_EDIFICIOS_VARIOS_TE_ADM_EDF_DPTO_MEDICO","BTZ03_SAN_LORENZO_TE_TE_ADM_LGC_EDIFICIOS_VARIOS_TE_ADM_EDF_DPTO_MEDICO.png","ok",""
"03","GRALES","EXP_BTZ03_SAN_LORENZO_TE_TE_ADM_LGC_EDIFICIOS_VARIOS_TE_ADM_EDF_VESTUARIOS_GRALES","FILTRO_BTZ03_SAN_LORENZO_TE_TE_ADM_LGC_EDIFICIOS_VARIOS_TE_ADM_EDF_VESTUARIOS_GRALES","BTZ03_SAN_LORENZO_TE_TE_ADM_LGC_EDIFICIOS_VARIOS_TE_ADM_EDF_VESTUARIOS_GRALES.png","ok",""
