element_id,unique_id,btz_numero_activo,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,estado_match,estado_confirmacion,observacion,limpiar_valores
314581,dc2f52e8-69c4-45c8-a7dd-658a902d58d3-0004ccd5,,TE,TE-ALM-LGC-ALMACENAJE (SILOS),TE-ALM-SLO-SILO 7,,TE-ALM-RSC-RFMSV,TE-ALM-NOR-EL5,TE-ALM-SRN-SIRSS5,TE-ALM-VNT-A35,TE-ALM-VNT-A75,TE-ALM-VLV-P59,TE-ALM-VNT-A26,TE-ALM-VNT-A66,TE-ALM-VLV-P66,TE-ALM-VNT-A17,TE-ALM-VNT-A57,TE-ALM-VLV-P77,TE-ALM-CCM-CCMBS4,TE-ALM-VLV-P55,TE-EMB-CNT-CSS4S,TE-ALM-VLV-Q56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,hijo Project TE-ALM-RSC-RFMSV escrito en btz_description_05 (element_id=314581) | hijo Project TE-ALM-NOR-EL5 escrito en btz_description_06 (element_id=314581) | hijo Project TE-ALM-SRN-SIRSS5 escrito en btz_description_07 (element_id=314581) | hijo Project TE-ALM-VNT-A35 escrito en btz_description_08 (element_id=314581) | hijo Project TE-ALM-VNT-A75 escrito en btz_description_09 (element_id=314581) | hijo Project TE-ALM-VLV-P59 escrito en btz_description_10 (element_id=314581) | hijo Project TE-ALM-VNT-A26 escrito en btz_description_11 (element_id=314581) | hijo Project TE-ALM-VNT-A66 escrito en btz_description_12 (element_id=314581) | hijo Project TE-ALM-VLV-P66 escrito en btz_description_13 (element_id=314581) | hijo Project TE-ALM-VNT-A17 escrito en btz_description_14 (element_id=314581) | hijo Project TE-ALM-VNT-A57 escrito en btz_description_15 (element_id=314581) | hijo Project TE-ALM-VLV-P77 escrito en btz_description_16 (element_id=314581) | hijo Project TE-ALM-CCM-CCMBS4 escrito en btz_description_17 (element_id=314581) | hijo Project TE-ALM-VLV-P55 escrito en btz_description_18 (element_id=314581) | hijo Project TE-EMB-CNT-CSS4S escrito en btz_description_19 (element_id=314581) | hijo Project TE-ALM-VLV-Q56 escrito en btz_description_20 (element_id=314581),NO
314647,dc2f52e8-69c4-45c8-a7dd-658a902d58d3-0004cd17,,TE,TE-ALM-LGC-ALMACENAJE (SILOS),TE-ALM-SLO-SILO 5,,TE-ALM-VLV-VDFMSV,TE-ALM-MLC-MALRESSIL,TE-ALM-SIS-AIREACION,TE-ALM-VNT-A45,TE-ALM-VNT-A85,TE-TNL-CNT-CBS5,TE-ALM-VNT-A36,TE-ALM-VNT-A76,TE-ALM-VLV-P67,TE-ALM-VNT-A27,TE-ALM-VNT-A67,TE-ALM-VLV-P78,TE-ALM-CNT-CSS4,TE-ALM-VLV-P56,TE-ALM-VLV-Q53,TE-TNL-CNT-CBS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,hijo Project TE-ALM-VLV-VDFMSV escrito en btz_description_05 (element_id=314647) | hijo Project TE-ALM-MLC-MALRESSIL escrito en btz_description_06 (element_id=314647) | hijo Project TE-ALM-SIS-AIREACION escrito en btz_description_07 (element_id=314647) | hijo Project TE-ALM-VNT-A45 escrito en btz_description_08 (element_id=314647) | hijo Project TE-ALM-VNT-A85 escrito en btz_description_09 (element_id=314647) | hijo Project TE-TNL-CNT-CBS5 escrito en btz_description_10 (element_id=314647) | hijo Project TE-ALM-VNT-A36 escrito en btz_description_11 (element_id=314647) | hijo Project TE-ALM-VNT-A76 escrito en btz_description_12 (element_id=314647) | hijo Project TE-ALM-VLV-P67 escrito en btz_description_13 (element_id=314647) | hijo Project TE-ALM-VNT-A27 escrito en btz_description_14 (element_id=314647) | hijo Project TE-ALM-VNT-A67 escrito en btz_description_15 (element_id=314647) | hijo Project TE-ALM-VLV-P78 escrito en btz_description_16 (element_id=314647) | hijo Project TE-ALM-CNT-CSS4 escrito en btz_description_17 (element_id=314647) | hijo Project TE-ALM-VLV-P56 escrito en btz_description_18 (element_id=314647) | hijo Project TE-ALM-VLV-Q53 escrito en btz_description_19 (element_id=314647) | hijo Project TE-TNL-CNT-CBS4 escrito en btz_description_20 (element_id=314647),NO
386142,905be7f4-0c46-42ea-a443-0fdea469e6f3-0005e45e,,TE,TE-ALM-LGC-ALMACENAJE (CELDAS),TE-ALM-CLD-CELDA 4,,TE-ALM-VLV-VRFMSV,TE-ALM-VLV-VR2TN2FMAPELL,TE-ALM-CRR-CTCSC1,TE-ALM-VLV-V104,TE-ALM-VLV-V109,TE-ALM-VLV-V114,TE-ALM-VLV-V119,TE-ALM-VLV-V124,TE-ALM-BMB-BDN2,TE-ALM-VLV-V201,TE-ALM-VLV-V206,TE-ALM-VLV-V211,TE-ALM-VLV-V216,TE-ALM-ASP-ASPERSOR,TE-ALM-CRR-CTCSC3,TE-ALM-VLV-V303,TE-ALM-VLV-V308,TE-ALM-VLV-V313,TE-ALM-VLV-V318,TE-ALM-VLV-V323,TE-ALM-VLV-V328,TE-ALM-VNT-VECSC3-03,TE-ALM-VNT-VECSC3-08,TE-ALM-CNT-C11,TE-ALM-VLV-VG18,TE-ALM-CRR-CTC8,TE-ALM-BRL-BRFMC4,TE-ALM-VLV-VC401,TE-ALM-VLV-VC406,TE-ALM-VLV-VC411,TE-ALM-VLV-VC416,TE-ALM-VLV-VC421,TE-ALM-VLV-VC426,TE-ALM-VLV-VC431,TE-ALM-VLV-VC436,TE-ALM-VLV-VC441,TE-ALM-VLV-VC446,TE-ALM-VLV-VC451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,hijo Project TE-ALM-VLV-VRFMSV escrito en btz_description_05 (element_id=386142) | hijo Project TE-ALM-VLV-VR2TN2FMAPELL escrito en btz_description_06 (element_id=386142) | hijo Project TE-ALM-CRR-CTCSC1 escrito en btz_description_07 (element_id=386142) | hijo Project TE-ALM-VLV-V104 escrito en btz_description_08 (element_id=386142) | hijo Project TE-ALM-VLV-V109 escrito en btz_description_09 (element_id=386142) | hijo Project TE-ALM-VLV-V114 escrito en btz_description_10 (element_id=386142) | hijo Project TE-ALM-VLV-V119 escrito en btz_description_11 (element_id=386142) | hijo Project TE-ALM-VLV-V124 escrito en btz_description_12 (element_id=386142) | hijo Project TE-ALM-BMB-BDN2 escrito en btz_description_13 (element_id=386142) | hijo Project TE-ALM-VLV-V201 escrito en btz_description_14 (element_id=386142) | hijo Project TE-ALM-VLV-V206 escrito en btz_description_15 (element_id=386142) | hijo Project TE-ALM-VLV-V211 escrito en btz_description_16 (element_id=386142) | hijo Project TE-ALM-VLV-V216 escrito en btz_description_17 (element_id=386142) | hijo Project TE-ALM-ASP-ASPERSOR escrito en btz_description_18 (element_id=386142) | hijo Project TE-ALM-CRR-CTCSC3 escrito en btz_description_19 (element_id=386142) | hijo Project TE-ALM-VLV-V303 escrito en btz_description_20 (element_id=386142) | hijo Project TE-ALM-VLV-V308 escrito en btz_description_21 (element_id=386142) | hijo Project TE-ALM-VLV-V313 escrito en btz_description_22 (element_id=386142) | hijo Project TE-ALM-VLV-V318 escrito en btz_description_23 (element_id=386142) | hijo Project TE-ALM-VLV-V323 escrito en btz_description_24 (element_id=386142) | hijo Project TE-ALM-VLV-V328 escrito en btz_description_25 (element_id=386142) | hijo Project TE-ALM-VNT-VECSC3-03 escrito en btz_description_26 (element_id=386142) | hijo Project TE-ALM-VNT-VECSC3-08 escrito en btz_description_27 (element_id=386142) | hijo Project TE-ALM-CNT-C11 escrito en btz_description_28 (element_id=386142) | hijo Project TE-ALM-VLV-VG18 escrito en btz_description_29 (element_id=386142) | hijo Project TE-ALM-CRR-CTC8 escrito en btz_description_30 (element_id=386142) | hijo Project TE-ALM-BRL-BRFMC4 escrito en btz_description_31 (element_id=386142) | hijo Project TE-ALM-VLV-VC401 escrito en btz_description_32 (element_id=386142) | hijo Project TE-ALM-VLV-VC406 escrito en btz_description_33 (element_id=386142) | hijo Project TE-ALM-VLV-VC411 escrito en btz_description_34 (element_id=386142) | hijo Project TE-ALM-VLV-VC416 escrito en btz_description_35 (element_id=386142) | hijo Project TE-ALM-VLV-VC421 escrito en btz_description_36 (element_id=386142) | hijo Project TE-ALM-VLV-VC426 escrito en btz_description_37 (element_id=386142) | hijo Project TE-ALM-VLV-VC431 escrito en btz_description_38 (element_id=386142) | hijo Project TE-ALM-VLV-VC436 escrito en btz_description_39 (element_id=386142) | hijo Project TE-ALM-VLV-VC441 escrito en btz_description_40 (element_id=386142) | hijo Project TE-ALM-VLV-VC446 escrito en btz_description_41 (element_id=386142) | hijo Project TE-ALM-VLV-VC451 escrito en btz_description_42 (element_id=386142),NO
247155,6d934a82-96dc-4146-9e66-1ddfb42e3787-0003c573,,TE,TE-DDV-LGC-DESC. VAGONES,,,TE-DDV-LGC-DESC,TE-DDV-BRL-BFMDDV,TE-DDV-NOR-EDDVAG,TE-DDV-VLV-VAGONES/RETORNO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,hijo Project TE-DDV-LGC-DESC escrito en btz_description_05 (element_id=247155) | hijo Project TE-DDV-BRL-BFMDDV escrito en btz_description_06 (element_id=247155) | hijo Project TE-DDV-NOR-EDDVAG escrito en btz_description_07 (element_id=247155) | hijo Project TE-DDV-VLV-VAGONES/RETORNO escrito en btz_description_08 (element_id=247155),NO
247308,6d934a82-96dc-4146-9e66-1ddfb42e3787-0003c60c,,TE,TE-DDV-LGC-DESC. VAGONES,,,TE-DDV-ASP-ASPER,TE-DDV-RSC-RFMDDV,TE-DDV-VLV-CLAP/VAGONES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,hijo Project TE-DDV-ASP-ASPER escrito en btz_description_05 (element_id=247308) | hijo Project TE-DDV-RSC-RFMDDV escrito en btz_description_06 (element_id=247308) | hijo Project TE-DDV-VLV-CLAP/VAGONES escrito en btz_description_07 (element_id=247308),NO
247346,6d934a82-96dc-4146-9e66-1ddfb42e3787-0003c632,,TE,TE-DDV-LGC-DESC. VAGONES,,,TE-DDV-CCM-DESCVAGONES,TE-DDV-VLV-VRFMDDV,TE-DDV-VLV-VAGONES/CAMIONES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,hijo Project TE-DDV-CCM-DESCVAGONES escrito en btz_description_05 (element_id=247346) | hijo Project TE-DDV-VLV-VRFMDDV escrito en btz_description_06 (element_id=247346) | hijo Project TE-DDV-VLV-VAGONES/CAMIONES escrito en btz_description_07 (element_id=247346),NO
247373,6d934a82-96dc-4146-9e66-1ddfb42e3787-0003c64d,,TE,TE-DDV-LGC-DESC. VAGONES,,,TE-DDV-FLT-FMDDV,TE-DDV-VNT-VFMDDV,TE-DDV-VLV-VAGONES/CR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,hijo Project TE-DDV-FLT-FMDDV escrito en btz_description_05 (element_id=247373) | hijo Project TE-DDV-VNT-VFMDDV escrito en btz_description_06 (element_id=247373) | hijo Project TE-DDV-VLV-VAGONES/CR6 escrito en btz_description_07 (element_id=247373),NO
238339,25d0f85d-57da-4cae-8ca2-9b682363407e-0003a303,,TE,TE-EMB-LGC-SECTOR EMBARQUE,TE-EMB-LGC-ATRAQUE/AMARRE,,TE-EMB-LGC-SECTOR,TE-EMB-MLL-MAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,hijo Project TE-EMB-LGC-SECTOR escrito en btz_description_05 (element_id=238339) | hijo Project TE-EMB-LGC-ATRAQUE/AMARRE ya existía en btz_description_03 | hijo Project TE-EMB-MLL-MAB escrito en btz_description_06 (element_id=238339),NO
238578,25d0f85d-57da-4cae-8ca2-9b682363407e-0003a3f2,,TE,TE-EMB-LGC-SECTOR EMBARQUE,TE-EMB-LGC-ATRAQUE/AMARRE,,TE-EMB-CHD-CHSERV,TE-EMB-TRR-TAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,hijo Project TE-EMB-CHD-CHSERV escrito en btz_description_05 (element_id=238578) | hijo Project TE-EMB-TRR-TAN escrito en btz_description_06 (element_id=238578),NO
238598,25d0f85d-57da-4cae-8ca2-9b682363407e-0003a406,,TE,TE-EMB-LGC-SECTOR EMBARQUE,TE-EMB-LGC-ATRAQUE/AMARRE,,TE-EMB-CUCH-CUCH,TE-EMB-TRR-TAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,hijo Project TE-EMB-CUCH-CUCH escrito en btz_description_05 (element_id=238598) | hijo Project TE-EMB-TRR-TAS escrito en btz_description_06 (element_id=238598),NO
238634,25d0f85d-57da-4cae-8ca2-9b682363407e-0003a42a,,,TE-EMB-LGC-SECTOR EMBARQUE,,,TE-EMB-CÑO-CAÑONASPERSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,hijo Project TE-EMB-CÑO-CAÑONASPERSOR escrito en btz_description_05 (element_id=238634),NO
239666,25d0f85d-57da-4cae-8ca2-9b682363407e-0003a832,,TE,TE-EMB-LGC-SECTOR EMBARQUE,TE-EMB-LGC-CINTAS EMBARQUE,,TE-EMB-GLR-ACCESO,TE-EMB-LGC-CINTAS,TE-EMB-ASP-ACE1,TE-EMB-VLV-VDP1/2,TE-EMB-ASP-ACE2,TE-EMB-VLV-VDP3/4,TE-EMB-ASP-ACE3,TE-EMB-ASP-ACE4,TE-EMB-VLV-VDP5/6,TE-EMB-ASP-ACE5,TE-EMB-VLV-VDP7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,hijo Project TE-EMB-GLR-ACCESO escrito en btz_description_05 (element_id=239666) | hijo Project TE-EMB-LGC-CINTAS escrito en btz_description_06 (element_id=239666) | hijo Project TE-EMB-ASP-ACE1 escrito en btz_description_07 (element_id=239666) | hijo Project TE-EMB-VLV-VDP1/2 escrito en btz_description_08 (element_id=239666) | hijo Project TE-EMB-ASP-ACE2 escrito en btz_description_09 (element_id=239666) | hijo Project TE-EMB-VLV-VDP3/4 escrito en btz_description_10 (element_id=239666) | hijo Project TE-EMB-ASP-ACE3 escrito en btz_description_11 (element_id=239666) | hijo Project TE-EMB-ASP-ACE4 escrito en btz_description_12 (element_id=239666) | hijo Project TE-EMB-VLV-VDP5/6 escrito en btz_description_13 (element_id=239666) | hijo Project TE-EMB-ASP-ACE5 escrito en btz_description_14 (element_id=239666) | hijo Project TE-EMB-VLV-VDP7/8 escrito en btz_description_15 (element_id=239666),NO
350532,166708fd-8f1f-4231-bc3b-68b8d7570667-00055944,,,TE-EMB-LGC-SECTOR EMBARQUE,,,TE-EMB-ESC-ESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,hijo Project TE-EMB-ESC-ESC escrito en btz_description_05 (element_id=350532),NO
