element_id,unique_id,estado_aplicacion,mensaje,btz_numero_activo,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80
354957,b711483d-ace3-4f9c-be95-628f10df186b-00056a8d,aplicado,OK,,,TE-ACT-SLA-SALA BMB BAJO BARR,,,TE-ACT-BMB-BO106,TE-ACT-BMB-BO510,TE-ACT-BMB-BO513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377655,c5ee6896-39ff-4562-be63-4682b50c65ca-0005c337,aplicado,OK,P10-PRL-ACS-TPRL,TE,P10-PRL-LGC-PRELIMPIEZA,P10-PRL-ACS-TPRL,,TE-BBR-LGC-SECTOR,TE-LGC-OLEO-VIC-PAT,TE-MDU-LGC-SECTOR,TE-MDU-LGC-REPUESTOS,TE-MSB-LGC-SECTOR,TE-RFN-LGC-CARGADERO,TE-ADD-LGC-DES,TE-ADD-TNQ-BATAN,TE-ADD-LGC-CINTAS,TE-ADD-CNT-Z1,TE-ADD-CNT-Z2,TE-ADD-CNT-Z3,TE-ADD-CNT-Z4,TE-ADD-LGC-MALACATES,TE-ADD-LGC-TOLVAS,TE-ELE-LGC-EQUIPOS,TE-CMN-LGC-ALTAVOCES,TE-CMN-LGC-RT,TE-LGC-CENTRAL,TE-LGC-LINEA,TE-TRF-LGC-TRAFOS,TE-LGC-EQUIPOS,TE-LGC-RUTAS,TE-LGC-ZONA,TE-PLY-LGC-SECTOR,TE-PLY-LGC-BARRANCA,TE-PLY-LGC-CANALES,TE-PLY-LGC-CCTV,TE-PLY-LGC-CHICA,TE-PLY-LGC-PRINCIPAL,TE-PLY-LGC-RGRAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166634,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00028aea,aplicado,OK,,,TE-ADM-LGC-EDIFICIOS VARIOS,,,TE-ADM-LGC-EDIFICIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198056,25d0f85d-57da-4cae-8ca2-9b682363407e-000305a8,aplicado,OK,,TE,TE-ADM-LGC-EDIFICIOS VARIOS,TE-TLL-LGC-OBRADOR ELECTRICO,,TE-TLL-LGC-OBRADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164153,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00028139,aplicado,OK,,TE,TE-ALM-LGC-ALMACENAJE (CELDAS),TE-ALM-CLD-CELDA 1,,TE-ALM-LGC-ALMACENAJE,TE-ALM-VNT-VBRFMSV,TE-ALM-VNT-VEFMAPELL,TE-ALM-CLD-CELDA,TE-ALM-LGC-VALV,TE-ALM-VLV-V105,TE-ALM-VLV-V110,TE-ALM-VLV-V115,TE-ALM-VLV-V120,TE-ALM-VLV-V125,TE-ALM-CCM-CCMBC2,TE-ALM-VLV-V202,TE-ALM-VLV-V207,TE-ALM-VLV-V212,TE-ALM-VLV-V217,TE-ALM-BMB-BDN3,TE-ALM-FLT-FMACSC3INF,TE-ALM-VLV-V304,TE-ALM-VLV-V309,TE-ALM-VLV-V314,TE-ALM-VLV-V319,TE-ALM-VLV-V324,TE-ALM-VLV-V329,TE-ALM-VNT-VECSC3-04,TE-ALM-VNT-VECSC3-09,TE-ALM-CNT-C12,TE-ALM-CNT-C7,TE-ALM-CNT-C9,TE-ALM-RSC-RFMC4,TE-ALM-VLV-VC402,TE-ALM-VLV-VC407,TE-ALM-VLV-VC412,TE-ALM-VLV-VC417,TE-ALM-VLV-VC422,TE-ALM-VLV-VC427,TE-ALM-VLV-VC432,TE-ALM-VLV-VC437,TE-ALM-VLV-VC442,TE-ALM-VLV-VC447,TE-ALM-VLV-VC452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164356,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00028204,aplicado,OK,,TE,TE-ALM-LGC-ALMACENAJE (CELDAS),TE-ALM-CLD-CELDA 2,,TE-ALM-FLT-FMAPELL,TE-ALM-VNT-VEFMSV,TE-ALM-BMB-BDN1,TE-ALM-VLV-V101,TE-ALM-VLV-V106,TE-ALM-VLV-V111,TE-ALM-VLV-V116,TE-ALM-VLV-V121,TE-TNL-CNT-CBC1,TE-ALM-CNT-CBC2,TE-ALM-VLV-V203,TE-ALM-VLV-V208,TE-ALM-VLV-V213,TE-ALM-VLV-V218,TE-ALM-CCM-CCMBC3,TE-ALM-VNT-VLFMACSC3INF,TE-ALM-VLV-V305,TE-ALM-VLV-V310,TE-ALM-VLV-V315,TE-ALM-VLV-V320,TE-ALM-VLV-V325,TE-ALM-SIS-VENTICELDA3,TE-ALM-VNT-VECSC3-05,TE-ALM-VNT-VECSC3-10,TE-ALM-CNT-C13,TE-ALM-VLV-VG19,TE-ALM-CRR-CTC9,TE-ALM-VLV-VRFMC4,TE-ALM-VLV-VC403,TE-ALM-VLV-VC408,TE-ALM-VLV-VC413,TE-ALM-VLV-VC418,TE-ALM-VLV-VC423,TE-ALM-VLV-VC428,TE-ALM-VLV-VC433,TE-ALM-VLV-VC438,TE-ALM-VLV-VC443,TE-ALM-VLV-VC448,TE-ALM-VLV-VC453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172255,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a0df,aplicado,OK,,TE,TE-ALM-LGC-ALMACENAJE (CELDAS),TE-ALM-CLD-CELDA 3,,TE-ALM-FLT-FMSV,TE-ALM-LGC-ALIMENT,TE-ALM-CCM-CCMBC1,TE-ALM-VLV-V102,TE-ALM-VLV-V107,TE-ALM-VLV-V112,TE-ALM-VLV-V117,TE-ALM-VLV-V122,TE-TDM-SIS-ASP,TE-ALM-CNT-CSC2,TE-ALM-VLV-V204,TE-ALM-VLV-V209,TE-ALM-VLV-V214,TE-ALM-VLV-V219,TE-ALM-CNT-CSC3,TE-ALM-VLV-V301,TE-ALM-VLV-V306,TE-ALM-VLV-V311,TE-ALM-VLV-V316,TE-ALM-VLV-V321,TE-ALM-VLV-V326,TE-ALM-VNT-VECSC3-01,TE-ALM-VNT-VECSC3-06,TE-TNL-CNT-CBC3,TE-ALM-CNT-C6,TE-ALM-VLV-VG20,TE-ALM-FLT-FMC4,TE-ALM-VLV-VRFMC4INF,TE-ALM-VLV-VC404,TE-ALM-VLV-VC409,TE-ALM-VLV-VC414,TE-ALM-VLV-VC419,TE-ALM-VLV-VC424,TE-ALM-VLV-VC429,TE-ALM-VLV-VC434,TE-ALM-VLV-VC439,TE-ALM-VLV-VC444,TE-ALM-VLV-VC449,TE-TNL-CNT-CBC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173806,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a6ee,aplicado,OK,,TE,TE-ALM-LGC-ALMACENAJE (SILOS),TE-ALM-SLO-SILO 6,,TE-ALM-BMB-BSFMSV,TE-ALM-CNT-CSSDIARIO,TE-ALM-SLO-SILO,TE-ALM-VNT-A15,TE-ALM-VNT-A55,TE-ALM-VLV-P57,TE-ALM-CNT-CSS6,TE-ALM-VNT-A46,TE-ALM-VNT-A86,TE-TNL-CNT-CBS6,TE-ALM-VNT-A37,TE-ALM-VNT-A77,TE-ALM-VLV-P79,TE-ALM-VLV-P53,TE-ALM-VLV-P48,TE-ALM-VLV-Q54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174050,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a7e2,aplicado,OK,,TE,TE-ALM-LGC-ALMACENAJE (SILOS),TE-ALM-SLO-SILO 4,,TE-ALM-VLV-VRTNFMSV,TE-ALM-FLT-FMACSSD,TE-ALM-CNT-CSS5,TE-ALM-VNT-A25,TE-ALM-VNT-A65,TE-ALM-VLV-P58,TE-ALM-VNT-A16,TE-ALM-VNT-A56,TE-ALM-VLV-P65,TE-ALM-CNT-CSS7,TE-ALM-VNT-A47,TE-ALM-VNT-A87,TE-TNL-CNT-CBS7,TE-ALM-VLV-P54,TE-ALM-VLV-P49,TE-ALM-VLV-Q55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174292,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a8d4,aplicado,OK,,TE,TE-ALM-LGC-ALMACENAJE (CELDAS),TE-ALM-CLD-CELDA 4,,TE-ALM-BRL-BRFMSV,TE-ALM-VNT-VLFMACSSD,TE-ALM-CNT-CSC1,TE-ALM-VLV-V103,TE-ALM-VLV-V108,TE-ALM-VLV-V113,TE-ALM-VLV-V118,TE-ALM-VLV-V123,TE-TDM-SIS-INY,TE-ALM-CRR-CTCSC2,TE-ALM-VLV-V205,TE-ALM-VLV-V210,TE-ALM-VLV-V215,TE-ALM-VLV-V220,TE-ALM-CNT-CSC3S,TE-ALM-VLV-V302,TE-ALM-VLV-V307,TE-ALM-VLV-V312,TE-ALM-VLV-V317,TE-ALM-VLV-V322,TE-ALM-VLV-V327,TE-ALM-VNT-VECSC3-02,TE-ALM-VNT-VECSC3-07,TE-ALM-CCM-CCMBC4,TE-ALM-VLV-VG17,TE-ALM-CNT-C8,TE-ALM-BMB-BSTN1,TE-ALM-VNT-VFMC4,TE-ALM-VLV-VC405,TE-ALM-VLV-VC410,TE-ALM-VLV-VC415,TE-ALM-VLV-VC420,TE-ALM-VLV-VC425,TE-ALM-VLV-VC430,TE-ALM-VLV-VC435,TE-ALM-VLV-VC440,TE-ALM-VLV-VC445,TE-ALM-VLV-VC450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
