element_id,unique_id,category,family,type,name,btz_path_detectado,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,cantidad_btz_description_con_valor,slots_libres,cantidad_codigos_project_asignados_sugeridos
172255,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a0df,Roofs,,Genérico - 400 mm,Genérico - 400 mm,TE > TE-ALM-LGC-ALMACENAJE (CELDAS) > TE-ALM-CLD-CELDA 3,TE,TE-ALM-LGC-ALMACENAJE (CELDAS),TE-ALM-CLD-CELDA 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
173806,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a6ee,Generic Models,silos 567,silos 567,silos 567,TE > TE-ALM-LGC-ALMACENAJE (SILOS) > TE-ALM-SLO-SILO 6,TE,TE-ALM-LGC-ALMACENAJE (SILOS),TE-ALM-SLO-SILO 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,75
174050,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a7e2,Generic Models,distrib,distrib,distrib,TE > TE-ALM-LGC-ALMACENAJE (SILOS) > TE-ALM-SLO-SILO 4,TE,TE-ALM-LGC-ALMACENAJE (SILOS),TE-ALM-SLO-SILO 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
174187,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a86b,Generic Models,Tanques aceite,Tanques aceite,Tanques aceite,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES ACEITE OSL > TE-LCT-TNQ-TK2,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE OSL,TE-LCT-TNQ-TK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,0
174203,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a87b,Generic Models,Tanques aceite1,Tanques aceite,Tanques aceite,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES ACEITE OSL > TE-LCT-TNQ-TK1,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE OSL,TE-LCT-TNQ-TK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,0
174229,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a895,Generic Models,Tanques aceite2,Tanques aceite,Tanques aceite,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES ACEITE OSL > TE-ACT-TNQ-TK12,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE OSL,TE-ACT-TNQ-TK12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,1
174292,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a8d4,Roofs,,Genérico - 400 mm,Genérico - 400 mm,TE > TE-ALM-LGC-ALMACENAJE (CELDAS) > TE-ALM-CLD-CELDA 4,TE,TE-ALM-LGC-ALMACENAJE (CELDAS),TE-ALM-CLD-CELDA 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
196831,25d0f85d-57da-4cae-8ca2-9b682363407e-000300df,Generic Models,silos rio,silos rio,silos rio,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES ACEITE > TE-ACT-TNQ-TK4,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,2
196851,25d0f85d-57da-4cae-8ca2-9b682363407e-000300f3,Generic Models,silos rio1,silos rio,silos rio,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES ACEITE > TE-ACT-TNQ-TK2,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,0
196872,25d0f85d-57da-4cae-8ca2-9b682363407e-00030108,Generic Models,silos rio2,silos rio,silos rio,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES ACEITE > TE-ACT-TNQ-TK1,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,2
